Permit Number,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Name,Unit,Description,Current Status,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Estimated Cost,Revised Cost,Existing Use,Existing Units,Supervisor District,Proposed Use,Proposed Units,Plansets,Zipcode
201404284346,otc alterations permit,04/28/2014,3544,045,1950,15th,,to obtain final inspection for work approved under app#9816513. all work is complete.,issued,,3.0,3.0,1.0,1.0,apartments,3.0,8.0,apartments,3.0,0.0,94114.0
M432527,otc alterations permit,10/04/2013,1132,013,52,Almaden,,street space,issued,,,,,1.0,,,1.0,,,,94118.0
201702159478,otc alterations permit,02/15/2017,0288,032,333,Bush,,"new freestanding benches to be added to plaza. all (e) paving, stairs, ramp, handrails and planters to remain. all electrical and plumbing work to be done under sep permit",issued,,43.0,43.0,113000.0,113000.0,office,45.0,3.0,office,45.0,2.0,94108.0
201505287415,otc alterations permit,05/28/2015,1101,018,1250,Broderick,,rmodel kitchen and bath. no structural work. same layout,complete,,3.0,3.0,25600.0,25600.0,apartments,18.0,5.0,apartments,18.0,0.0,94115.0
201603222716,otc alterations permit,03/22/2016,3750,073,600,Harrison,,1st floor: fire alarm adding 5 duct horn/strobes to extg system due to t.i. ref app#201601197341 n/a for maher,complete,,6.0,6.0,3000.0,4000.0,office,0.0,6.0,office,0.0,2.0,94107.0
201402037668,otc alterations permit,02/03/2014,6634,001B,133,29th,,remove illegally constructed bath at garage and comply with 1st floor. nov 200344020,issued,,3.0,3.0,1.0,7500.0,apartments,5.0,8.0,apartments,5.0,2.0,94110.0
201304094141,otc alterations permit,04/09/2013,1722,011,1267,28th,,"replace in kind - 5 double hung wood windows, not visible from the street.",complete,,2.0,2.0,5000.0,5000.0,1 family dwelling,1.0,4.0,1 family dwelling,1.0,0.0,94122.0
201511102285,otc alterations permit,11/10/2015,0230,028,1,Embarcadero Center,,"#1550- new supply ductwork, replace (e) pneumatic control valves for (e) perimeter induction units, replace (6) existing vav boxes, replace pneumatic vav box controls with ddc, replace all existing pneumatic t-stats with ddc. n/a ordinance #155-13",issued,,45.0,45.0,180000.0,180000.0,office,0.0,3.0,office,0.0,2.0,94111.0
201509096440,otc alterations permit,09/09/2015,6968,016,5034,Mission,,to comply complaint #'s 201567801 & 201566821. reinforce exterior stairway w/ 2x6 treated lumber in rear less than 50%. replace sheetrock on 3rd fl level kitchen area.,complete,,3.0,3.0,800.0,800.0,2 family dwelling,2.0,11.0,2 family dwelling,2.0,0.0,94112.0
201509247975,otc alterations permit,09/24/2015,1221,023,200,Central,,"replace deteriorated window  sashes (53 total sashes) in kind: custom made wood sashes installed in (e) frames. new sashes with 1/4"" laminated glass. new window guards including egress guard ( 3 sashes total); replace 2 garage doors & person door, widening person door from 2'-6"" to 3'-0"".",complete,,4.0,4.0,30000.0,30000.0,apartments,8.0,5.0,apartments,8.0,2.0,94117.0
